SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,GP,KI,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,SP2,MA1,PH1,CH1,EL1,EC1,EH1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,S2_3-MOE,NO OF CCA
302,20190302,F,262,NA,IP (Y),SCHOOL Y,0,61,,,81,,,75.8,74.6,,,,,67.1,,,,,,,,,,,,,,,,,,,,,,,39.5,,,,,1
303,20190303,M,257,NA,IP (X),SCHOOL X,0,55,,,45,,,,43.6,51.8,,,,48.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
304,20190304,M,0,NA,JAE Ordinary Admission,BEDOK GREEN SECONDARY SCHOOL,0,55,,,66.5,,,79,59.8,,,,,53.6,,,,,,,,,,,,,,,,,,,,,,73,,,,,,1
305,20190305,M,264,NA,IP (X),SCHOOL X,0,66,,,80,,,,76.9,69.2,,,,60,,,,,,,,,,,,,,,,,,,,,,,49,,,,,1
306,20190306,M,256,NA,IP (X),SCHOOL X,0,66,,,69.5,,,79.3,64.3,,,,,59.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
307,20190307,F,266,NA,IP (Y),SCHOOL Y,0,66,,,74,,,,73.8,,,,,72.8,,,,,,,,,66.7,,,,,,,,,,,,,,,,,,,2
308,20190308,F,266,NA,IP (Y),SCHOOL Y,0,67,,,67.5,,,,62,62.7,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,2
309,20190309,M,0,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,0,64,,,62.5,,,57.9,59.7,,,,,,,,,,,,,69.3,,,,,,,,,,,,,,,,,,,,1
310,20190310,F,0,NA,IP (Y),SCHOOL Y,0,57,,,58.5,,,,60.5,55.7,,,,55.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
311,20190311,M,257,NA,IP (X),SCHOOL X,0,63,,,84,,,84.5,81.9,,,,,64.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
312,20190312,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,64,,,47.5,,,,49.5,,58.7,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
313,20190313,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,0,58,,,50.5,,,,66.6,63.4,,,,61.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
314,20190314,M,254,NA,IP (X),SCHOOL X,0,62,,,69,,,66.8,,,64,,,64.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
315,20190315,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,0,59,,,64.5,,,,,57.6,,,,52.8,,,,,,,,,,,,,,,,73.1,,,,,,,,,,,,1
316,20190316,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,60,,,61,,,59.5,67.7,,,,,61.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
317,20190317,M,255,NA,IP (X),SCHOOL X,0,54,,,64.5,,,69.7,67.2,,,,,49.9,,,,,,,,,,,,,,,,,,,,,,45,,,,,,2
318,20190318,M,262,NA,IP (X),SCHOOL X,0,62,,,79,,,77,73,,,,,,,,,,,,,,68.6,,,,,,,,,,,,,,,,,,,1
319,20190319,M,262,NA,IP (X),SCHOOL X,0,69,,,70.5,,,72.3,68.8,,,,,63.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
320,20190320,M,0,NA,JAE Ordinary Admission,FAIRFIELD METHODIST SCHOOL (SECONDARY),0,75,,,87.5,,,,88.1,,,,,77.7,,,,77.1,,,,,,,,,,,,,,,,,,,,,,,,1
321,20190321,M,0,NA,JAE Ordinary Admission,COMMONWEALTH SECONDARY SCHOOL,0,60,,,68,,,69.7,59.8,,,,,59.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
322,20190322,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,0,68,,,72,,,73.3,69.9,,,,,59.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
323,20190323,M,254,NA,IP (X),SCHOOL X,0,59,,,72,,,62.7,59.6,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
324,20190324,F,0,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,0,66,,,60.5,,69.8,64.9,,,,,,56.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
325,20190325,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,53,,,60,,,69.3,63.7,,,,,53.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
326,20190326,F,244,NA,Appeals (Academic),CRESCENT GIRLS' SCHOOL,0,56,,,47.5,,,,47.6,54.4,,,,54.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
327,20190327,F,262,NA,IP (Y),SCHOOL Y,0,60,,,46.5,,,,57,55.7,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,1
328,20190328,F,256,NA,IP (Y),SCHOOL Y,0,60,,,72,,,81.6,82,,,,,63.9,,,,,,,,,,,,,,,,,,,,,,,42.5,,,,,1
329,20190329,M,256,NA,IP (X),SCHOOL X,0,63,,,80,,,71.9,74.3,,,,,57.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
330,20190330,M,255,NA,IP (X),SCHOOL X,0,67,,,71,,,,56.9,,67.3,,,52.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
331,20190331,F,264,NA,IP (Y),SCHOOL Y,0,65,,,,,,,,,64,,,45.2,,,,,,69.5,,,,,,,,21,,,,,,,,,,,,64.2,,1
332,20190332,M,0,NA,IP (X),SCHOOL X,0,,77.5,,72,,71.2,72.1,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,2
333,20190333,F,261,NA,IP (Y),SCHOOL Y,0,60,,,45,,,,,,,,,65.9,,63,,,,,,,74.3,,,,,,,,,,,,,,,,,,,1
334,20190334,M,256,NA,IP (X),SCHOOL X,0,63,,,60.5,,,76.3,70,,,,,,,,,,,,,,73.3,,,,,,,,,,,,,,44.5,,,,,2
335,20190335,M,0,NA,IP (X),SCHOOL X,0,,75.8,,75,,,81.6,70.4,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,2
336,20190336,M,261,NA,IP (X),SCHOOL X,0,60,,,,,,,,,58,,,48.3,,,,44,,,,,,,,,,45,,,,,,,,,,,,,,1
337,20190337,M,0,NA,JAE Ordinary Admission,YUYING SECONDARY SCHOOL,0,54,,,76,,,77.8,68.9,,,,,53.9,,,,,,,,,,,,,,,,,,,,,,,20.5,,,,,1
338,20190338,F,269,NA,IP (Y),SCHOOL Y,0,68,,,61.5,,52,60.5,,,,,,44.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
339,20190339,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,51,,,40.5,,,,51,53.2,,,,50.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
340,20190340,M,257,NA,IP (X),SCHOOL X,0,54,,,73.5,,,,56.6,57.3,,,,40.9,,,,,,,,,,,,,,,,,,,,,27,,,,,,,1
341,20190341,M,259,NA,IP (X),SCHOOL X,0,64,,,76.5,,87,,82.4,,,,,,,,,,,,,,68.6,,,,,,,,,,,,,,45.5,,,,,1
342,20190342,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,0,51,,,73,,,64.8,75.6,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
343,20190343,M,0,NA,DSA,ST. JOSEPH'S INSTITUTION,0,60,,,71,50.5,,77.3,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,57.5,,2
344,20190344,M,0,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,0,61,,,50,,,66.8,65,,,,,54.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
345,20190345,M,0,NA,JAE Ordinary Admission,GAN ENG SENG SCHOOL,0,52,,,55,,,,61.8,66.9,,,,55.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
346,20190346,M,255,NA,IP (X),SCHOOL X,0,66,,,79,,,83.3,83.5,,,,,68,,,,,,,,,,,,,,,,,,,,,,,55.5,,,,,1
347,20190347,F,231,NA,IP (Y),SCHOOL Y,0,55,,,53,,,,,,,,,63.6,,68,,,,,,,,,,,,,,55.7,,,,,,,,,,,,1
348,20190348,F,244,NA,IP (Y),SCHOOL Y,0,67,,,57,,,,62.1,58.7,,,,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
349,20190349,M,0,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,0,64,,,55.5,,,62.6,47.4,,,,,49.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
350,20190350,M,0,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,0,62,,,71.5,,,,71.7,61,,,,,,,,,,,,58.5,,,,,,,,,,,,,,,32,,,,,1
351,20190351,M,241,NA,IP (X),SCHOOL X,0,59,,,66,,,49.8,52.3,,,,,46.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
352,20190352,M,232,NA,IP (X),SCHOOL X,0,57,,,58.5,,,55.3,56.3,,,,,52.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
353,20190353,M,251,NA,IP (X),SCHOOL X,0,59,,,62.5,,,65,59.9,,,,,53.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
354,20190354,F,0,NA,IP (Y),SCHOOL Y,0,63,,,,,,,,,,,64.5,54.8,,,,,,79.5,,,,,,,,57,,,,,,,,,,,,55,,1
355,20190355,F,272,NA,IP (Y),SCHOOL Y,0,77,,,87,,,77.5,80,,,,,72.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
356,20190356,M,261,NA,IP (X),SCHOOL X,0,62,,,44.5,,,,49.7,60.2,,,,,,,,,,,,,,,,,,,,,,53.3,,,,,,,,,,1
357,20190357,F,0,NA,JAE Ordinary Admission,SWISS COTTAGE SECONDARY SCHOOL,0,51,,,44,,,,56.6,58.5,,,,51.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
358,20190358,M,256,NA,IP (X),SCHOOL X,0,56,,,54,,,54.7,55.5,,,,,50.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
359,20190359,F,260,NA,IP (Y),SCHOOL Y,0,58,,,61.5,,,63.9,61.3,,,,,60.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
360,20190360,F,256,NA,IP (Y),SCHOOL Y,0,56,,,37.5,,,,47.1,39.3,,,,,,,,,,,,,,,,,,,,,,56.7,,,,,,,,,,1
361,20190361,M,254,NA,IP (X),SCHOOL X,0,66,,,74.5,,,,84.8,77.4,,,,69.9,,,,,,,,,,,,,,,,,,,,,,,49,,,,,1
362,20190362,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,57,,,74.5,,,77.9,65.7,,,,,56.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
363,20190363,M,257,NA,IP (X),SCHOOL X,0,64,,,59,,,,56.4,54.9,,,,60.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
364,20190364,M,257,NA,IP (X),SCHOOL X,0,,,68.3,,,,,,,,75,,,60.3,,67.5,,,,,,,,,,,,,,,,,,,,,,,,,1
365,20190365,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,0,61,,,64,,,56.5,41.9,,,,,59.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
366,20190366,M,0,NA,JAE Ordinary Admission,"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",0,65,,,63,,,68.5,60.9,,,,,53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
367,20190367,F,253,NA,IP (Y),SCHOOL Y,0,68,,,84.5,,,,73.9,85.7,,,,59.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
368,20190368,F,0,NA,JAE Ordinary Admission,CHIJ ST. NICHOLAS GIRLS' SCHOOL,0,52,,,45.5,,,,50.9,,51.3,,,,,,,,,,,,,,,,,,55.5,,,,,,,,,,,,,1
369,20190369,M,253,NA,IP (X),SCHOOL X,0,53,,,52,,,58.1,46.9,,,,,,,,,,,,,,,,,,,,,,,45.6,,,,,,,,,,1
370,20190370,F,0,NA,JAE Ordinary Admission,TANJONG KATONG GIRLS' SCHOOL,0,63,,,56,,,50.7,54.6,,,,,54.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
371,20190371,M,257,NA,IP (X),SCHOOL X,0,59,,,,,,,,,56.7,,,49.5,,54.5,,,,,,,,,,,,54,,,,,,,,,,,,,,0
372,20190372,F,265,NA,IP (Y),SCHOOL Y,0,51,,,59.5,,,,43.5,46.9,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
373,20190373,F,0,NA,JAE Ordinary Admission,ANGLICAN HIGH SCHOOL,0,58,,,47,,,,50.2,54.2,,,,53.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
374,20190374,F,254,NA,IP (Y),SCHOOL Y,0,58,,,85,,,78.6,79.1,,,,,66.1,,,,,,,,,,,,,,,,,,,,,,,49.5,,,,,2
375,20190375,F,0,NA,JAE Ordinary Admission,WOODLANDS SECONDARY SCHOOL,0,49,,,45.5,,,,52.2,,,,,62.3,,,,,,,,,74.8,,,,,,,,,,,,,,,,,,,1
376,20190376,M,0,NA,JAE Ordinary Admission,BEATTY SECONDARY SCHOOL,0,39,,,30.5,,,51.6,32.5,,,,,,,,,,,,,57.5,,,,,,,,,,,,,,,,,,,,1
377,20190377,M,262,NA,IP (X),SCHOOL X,0,66,,,70.5,,,66.7,57.9,,,,,53.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
378,20190378,F,266,NA,IP (Y),SCHOOL Y,0,68,,,63.5,,,,,,,62.7,,,65.9,,63.5,,,,,,,,,,,,,,,,,,,,,,56,,,2
379,20190379,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,0,77,,,69,,,63.4,57.5,,,,,59.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
380,20190380,F,0,NA,JAE Ordinary Admission,KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,0,64,,,58.5,,,,50.5,55.9,,,,48.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
381,20190381,F,259,NA,IP (Y),SCHOOL Y,0,64,,,72,,,73.9,69,,,,,67.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
382,20190382,F,258,NA,IP (Y),SCHOOL Y,0,70,,,65,,,,,,,68,,,69.9,,67,,,,,,,,,,,,,,,,,,,,,,,,,1
383,20190383,M,260,NA,IP (X),SCHOOL X,0,80,,,93,,,90.7,86.9,,,,,75.2,,,,,,,,,,,,,,,,,,,,,,,76,,,,,1
384,20190384,F,265,NA,IP (Y),SCHOOL Y,0,60,,,60,,,,76.7,73.3,,,,63.5,,,,,,,,,,,,,,,,,,,,,,,52.5,,,,,1
385,20190385,F,249,NA,DSA (CCA),CHIJ ST. NICHOLAS GIRLS' SCHOOL,0,60,,,42,,,,55.2,51.3,,,,50.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
386,20190386,F,268,NA,IP (Y),SCHOOL Y,0,61,,,61,,,55.1,60.3,,,,,52.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
387,20190387,M,0,NA,JAE Ordinary Admission,ANGLO-CHINESE SCHOOL (INDEPENDENT),0,64,,,61.5,,,69.4,64.4,,,,,,,,,60.7,,,,,,,,,,,,,,,,,,,,,,,,1
388,20190388,M,240,NA,IP (X),SCHOOL X,0,52,,,86.5,,,,81.7,67.3,,,,51.1,,,,,,,,,,,,,,,,,,,,,,,56.5,,,,,2
389,20190389,M,256,NA,IP (X),SCHOOL X,0,55,,,16,,,,46.3,,,,,MC,,,,,,,,,,,,,,,33.5,,,,,,,,,,,,,1
390,20190390,M,264,NA,IP (X),SCHOOL X,0,67,,,57,,,,,,65.3,,,65.6,,,,,,,,,65.7,,,,,,,,,,,,,,,,,,,1
391,20190391,M,245,NA,DSA,CATHOLIC HIGH SCHOOL,0,75,,,60.5,,,,,,,66.3,,,69.7,,69.5,,,,,,,,,,,,,,,,,,,,,,,,,1
392,20190392,M,259,NA,IP (X),SCHOOL X,0,67,,,78.5,,,81.1,79.6,,,,,61.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
393,20190393,M,241,NA,IP (X),SCHOOL X,0,52,,,59.5,,,54,63.7,,,,,55.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
394,20190394,M,253,NA,IP (X),SCHOOL X,0,67,,,67,,,71,63.3,,,,,,,,,,,,,,64.8,,,,,,,,,,,,,,,,,,,1
395,20190395,M,258,NA,IP (X),SCHOOL X,0,74,,,84.5,,,87.2,85.1,,,,,,,,,77.2,,,,,,,,,,,,,,,,,,,,,,,,1
396,20190396,F,258,NA,IP (Y),SCHOOL Y,0,69,,,55,,,,63.5,65.3,,,,,,,,,,,,,72.4,,,,,,,,,,,,,,,,,,,1
397,20190397,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,53,,,61,,,,48.3,47.8,,,,39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
398,20190398,F,0,NA,JAE Ordinary Admission,ZHONGHUA SECONDARY SCHOOL,0,71,,,63.5,,,,54.3,,,,,61.7,,66,,,,,,,,,,,,,,,,,,,,,,,,,,2
399,20190399,M,0,NA,JAE Ordinary Admission,MARIS STELLA HIGH SCHOOL,0,62,,,37,,,,,52.4,,,,56.8,,,,,,,,,,,,,,,,59.9,,,,,,,,,,,,1
400,20190400,F,244,NA,IP (Y),SCHOOL Y,0,67,,,67,,,,69.2,60.2,,,,65.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
401,20190401,M,256,NA,IP (X),SCHOOL X,0,65,,,55,,,61.6,59.3,,,,,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
402,20190402,M,251,NA,IP (X),SCHOOL X,0,64,,,54,,,58.6,65.2,,,,,57.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
403,20190403,M,260,NA,IP (X),SCHOOL X,0,60,,,60.5,,,62.6,52.1,,,,,48.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
404,20190404,F,267,NA,IP (Y),SCHOOL Y,0,68,,,52,,,,54.7,67.4,,,,,,,,,,,,,62.4,,,,,,,,,,,,,,,,,,,1
405,20190405,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,67,,,79.5,,,,73.3,74.2,,,,53.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
406,20190406,M,257,NA,IP (X),SCHOOL X,0,54,,,30,,,35.1,,,,,,36.9,,,,,,,,,,,,,,,,27.5,,,,,,,,,,,,1
407,20190407,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),0,57,,,50,,,,49.4,,52.7,,,,,,,,,,,,,,,,,,62.2,,,,,,,,,,,,,1
408,20190408,F,228,NA,Appeals (Academic),CHIJ KATONG CONVENT,0,55,,,78,,,69.3,72.8,,,,,,,,,62.9,,,,,,,,,,,,,,,,,,,,,,,,1
409,20190409,F,265,NA,IP (Y),SCHOOL Y,0,68,,,53.5,,,,61.2,56.3,,,,59.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
410,20190410,F,247,NA,IP (Y),SCHOOL Y,0,76,,,44.5,,,,57,64.1,,,,58.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
411,20190411,F,238,NA,IP (Y),SCHOOL Y,0,52,,,52,,,,43.4,59,,,,49.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
412,20190412,F,0,NA,JAE Ordinary Admission,ANDERSON SECONDARY SCHOOL,0,58,,,37,,,58,49.6,,,,,52.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
413,20190413,F,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (YISHUN),0,60,,,56.5,,,46,45.8,,,,,43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
414,20190414,F,259,NA,IP (Y),SCHOOL Y,0,58,,,54.5,,,57.1,57.2,,,,,55.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
415,20190415,M,259,NA,IP (X),SCHOOL X,0,63,,,48,,,53,,,,,,59.7,,,,62.8,,,,,,,,,,,,,,,,,,,,,,,,1
416,20190416,F,261,NA,IP (Y),SCHOOL Y,0,64,,,74.5,,,,,,,,,60,,,,,,,,68.5,,71,,,,,,,,,,,,,,,,,78,1
417,20190417,M,257,NA,IP (X),SCHOOL X,0,63,,,69,,,66,54.2,,,,,48.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
418,20190418,M,250,NA,IP (X),SCHOOL X,0,60,,,53.5,,,,58.3,67.6,,,,62.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
419,20190419,M,257,NA,IP (X),SCHOOL X,0,73,,,78.5,,,83.5,82.2,,,,,72.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
420,20190420,F,250,NA,IP (Y),SCHOOL Y,0,58,,,60,,,,37.7,,63.3,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,1
421,20190421,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,52,,,53.5,,,,60,59.2,,,,51.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
422,20190422,F,248,NA,DSA,METHODIST GIRLS' SCHOOL (SECONDARY),0,69,,,72.5,,,,75.1,73.6,,,,,,,,78.7,,,,,,,,,,,,,,,,,,,,,,,,1
423,20190423,F,216,NA,IP (Y),SCHOOL Y,0,52,,,39.5,,,44.2,,,,,,50.4,,,,,,,,,,,,,,,,,,,,45,,,,,,,,1
424,20190424,M,262,NA,IP (X),SCHOOL X,0,61,,,52.5,,,64.5,66.2,,,,,53.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
425,20190425,M,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),0,65,,,41,,,59.3,49.8,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,2
426,20190426,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,67,,,80.5,,,73.8,76.3,,,,,60.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
427,20190427,F,272,NA,IP (Y),SCHOOL Y,0,57,,,60.5,,,68.5,57.8,,,,,,,,,,,,,,61.4,,,,,,,,,,,,,,,,,,,1
428,20190428,F,247,NA,IP (Y),SCHOOL Y,0,58,,,,,,,33.1,,62,,,48.4,,,,,,,,,,,,,,66,,,,,,,,,,,,,,0
429,20190429,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),0,64,,,66,,,57.3,69.1,,,,,57.5,,,,,,,,,,,,,,,,,,,,,,,36.5,,,,,1
430,20190430,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,58,,,73.5,,,,71.9,64.5,,,,64.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
431,20190431,F,0,NA,IP (Y),SCHOOL Y,0,,83.3,,88.5,,90.2,89.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,,,,,2
432,20190432,M,0,NA,JAE Ordinary Admission,ST. JOSEPH'S INSTITUTION,0,55,,,50.5,,,58.9,54.8,,,,,,,,,,,,,59.3,,,,,,,,,,,,,,,,,,,,1
433,20190433,F,256,NA,IP (Y),SCHOOL Y,0,63,,,70,,,,68.8,67.8,,,,54.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
434,20190434,F,254,NA,IP (Y),SCHOOL Y,0,58,,,51,,,57.3,,,,,,56.8,,,,,,,,,,,,,,,,70.3,,,,,,,,,,,,1
435,20190435,F,0,NA,JAE Ordinary Admission,TANJONG KATONG GIRLS' SCHOOL,0,59,,,49.5,,,56.6,56.6,,,,,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
436,20190436,F,262,NA,IP (Y),SCHOOL Y,0,68,,,79,,,,75.9,73.5,,,,66.3,,,,,,,,,,,,,,,,,,,,,,,,84,,,,1
437,20190437,F,262,NA,IP (Y),SCHOOL Y,0,65,,,52.5,,,58.9,50.2,,,,,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
438,20190438,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,0,68,,,80.5,,,82.2,91,,,,,75.1,,,,,,,,,,,,,,,,,,,,,,,66,,,,,1
439,20190439,M,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,64,,,63.5,,,,74.9,74.9,,,,72,,,,,,,,,,,,,,,,,,,,,,,,78.7,,,,1
440,20190440,F,258,NA,IP (Y),SCHOOL Y,0,65,,,34.5,,,,47.2,51.1,,,,,,,,,,,,,,,,,,,,,,67.8,,,,,,,,,,1
441,20190441,M,251,NA,IP (X),SCHOOL X,0,64,,,52,,,,,,,,,56,,,,59.7,,,,,,,,,,,,69.7,,,,,,,,,,,,1
442,20190442,F,249,NA,IP (Y),SCHOOL Y,0,64,,,55,,,,55.4,60.4,,,,,,64.5,,,,,,,,,,,,,,,,,,,,,,,,,,1
443,20190443,F,0,NA,JAE Ordinary Admission,NAN CHIAU HIGH SCHOOL,0,56,,,56,,,,66.6,56.7,,,,,,61.5,,,,,,,,,,,,,,,,,,,,,,,,,,1
444,20190444,F,0,NA,JAE Ordinary Admission,NAN HUA HIGH SCHOOL,0,63,,,70.5,,,,62.8,55.1,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
445,20190445,F,260,NA,IP (Y),SCHOOL Y,0,61,,,36.5,,,,55,50.1,,,,49.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
446,20190446,F,259,NA,IP (Y),SCHOOL Y,0,67,,,67.5,,,,63.1,69.6,,,,,,,,,,81.1,,,,,,,,,,,,,,,,,,,,70,,1
447,20190447,M,0,NA,IP (X),SCHOOL X,0,56,,,47,,,62.1,56,,,,,53.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
448,20190448,M,250,NA,IP (X),SCHOOL X,0,63,,,72,,,71.8,71.2,,,,,64.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
449,20190449,F,226,NA,DSA (CCA),SINGAPORE CHINESE GIRLS' SCHOOL,0,66,,,33.5,,,51.2,37.7,,,,,54.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
450,20190450,F,0,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,0,59,,,70,,,69.1,66.9,,,,,61.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
451,20190451,M,255,NA,IP (X),SCHOOL X,0,57,,,65.5,,,65.7,62.3,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
452,20190452,F,0,NA,JAE Ordinary Admission,CEDAR GIRLS' SECONDARY SCHOOL,0,62,,,60.5,,,,,,,,,61.5,,59.5,,,,,,,,,,,,,,68.8,,,,,,,,,,,,1
453,20190453,F,242,NA,IP (Y),SCHOOL Y,0,63,,,51,,,64.6,69.8,,,,,60.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
454,20190454,M,257,NA,IP (X),SCHOOL X,0,65,,,74.5,,,77.1,74.1,,,,,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
455,20190455,M,267,NA,IP (X),SCHOOL X,0,70,,,58,,,66.5,54.8,,,,,59.9,,,,,,,,,,,,,,,,,,,,,,36,,,,,,1
