SN,NEWID,GENDER,PSLE,REPEAT,INTAKE,SEC SCHOOL,PW,GP,KI,KI (A),MA2,FM2,CP2,PH2,CH2,BY2,EL2,EL2 (A),ELL2,EC2,EC2 (A),EH2,EH2 (A),EG2,EG2 (A),S1_2,S2_2,S3_2,S4_2,S5_2,FR2,GM2,SP2,MA1,PH1,CH1,EL1,EC1,EH1,EG1,MA3-MOE,PH3-MOE,CH3-MOE,BY3-MOE,EC3-MOE,S1_3-MOE,S2_3-MOE,NO OF CCA
54,20190054,M,266,NA,IP (X),SCHOOL X,0,75,,,84,,,,89,81.2,,,,76.4,,,,,,,,,,,,,,,,,,,,,,,,82.7,,,,2
55,20190055,M,244,NA,IP (X),SCHOOL X,0,58,,,64.5,,,65.2,62,,,,,64.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
56,20190056,M,257,NA,IP (X),SCHOOL X,0,64,,,,,,,48.3,63.7,68.7,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,2
57,20190057,M,257,NA,IP (X),SCHOOL X,0,61,,,67.5,,,58.3,56.6,,,,,59.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
58,20190058,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),0,59,,,70.5,,,62.7,64,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
59,20190059,M,264,NA,IP (X),SCHOOL X,0,59,,,67,,91.8,74.8,,,,,,68,,,,,,,,,,,,,,,,,,,,,44,,,,,,,2
60,20190060,M,252,NA,IP (X),SCHOOL X,0,59,,,68.5,,,64.9,53.5,,,,,52.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
61,20190061,M,269,NA,IP (X),SCHOOL X,0,80,,,53.5,,,,70,69.4,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
62,20190062,M,270,NA,IP (X),SCHOOL X,0,64,,,67,,,69,79.2,,,,,50.3,,,,,,,,,,,,,,,,,,,,,,,71.5,,,,,1
63,20190063,M,0,NA,JAE Ordinary Admission,CATHOLIC HIGH SCHOOL,0,62,,,60.5,,,56.6,52.5,,,,,47.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
64,20190064,M,0,NA,IP (X),SCHOOL X,0,75,,,72,,68.6,74.5,,,,,,67.3,,,,,,,,,,,,,,,,,,,,,,64,,,,,,2
65,20190065,F,259,NA,IP (Y),SCHOOL Y,0,60,,,,,,,,,52.7,,,56.4,,,,,,,,74,,,,,,43,,,,,,,,,,,,,,1
66,20190066,F,261,NA,IP (Y),SCHOOL Y,0,68,,,58.5,,,64.3,67.8,,,,,59.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
67,20190067,F,260,NA,IP (Y),SCHOOL Y,0,64,,,62.5,,,,81.3,80.3,,,,62.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
68,20190068,M,0,NA,JAE Ordinary Admission,JURONG SECONDARY SCHOOL,0,50,,,72.5,,,77.7,64.3,,,,,54.7,,,,,,,,,,,,,,,,,,,,,45,,,,,,,1
69,20190069,M,0,NA,JAE Ordinary Admission,BROADRICK SECONDARY SCHOOL,0,64,,,45.5,,,51.2,,,,,,,,,,,,,,67,,,,,,,,,,57.8,,,,,,,,,,1
70,20190070,M,254,NA,IP (X),SCHOOL X,0,61,,,68,,,,80,73.4,,,,62,,,,,,,,,,,,,,,,,,,,,,,,84,,,,1
71,20190071,M,258,NA,IP (X),SCHOOL X,0,66,,,74,,,66.5,74.1,,,,,68.1,,,,,,,,,,,,,,,,,,,,,,,38.5,,,,,1
72,20190072,M,260,NA,IP (X),SCHOOL X,0,58,,,69,,,60.5,66.5,,,,,54.9,,,,,,,,,,,,,,,,,,,,,40,,,,,,,1
73,20190073,M,259,NA,IP (X),SCHOOL X,0,59,,,79.5,,,83.1,86.4,,,,,69.6,,,,,,,,,,,,,,,,,,,,,,,,,63,,,1
74,20190074,F,0,NA,JAE Ordinary Admission,METHODIST GIRLS' SCHOOL (SECONDARY),0,67,,,69.5,,,,65.6,57.6,,,65.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
75,20190075,F,262,NA,IP (Y),SCHOOL Y,0,70,,,58.5,,,70.1,56.5,,,,,51.2,,,,,,,,,,,,,,,,,,,,,,62,,,,,,2
76,20190076,F,0,NA,JAE Ordinary Admission,BUKIT PANJANG GOVT. HIGH SCHOOL,0,50,,,59,,,,71.6,64.2,,,,65.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
77,20190077,M,255,NA,IP (X),SCHOOL X,0,64,,,68,,,73.2,70.5,,,,,51.9,,,,,,,,,,,,,,,,,,,,,,63,,,,,,1
78,20190078,M,258,NA,IP (X),SCHOOL X,0,67,,,65.5,,,,71.2,57,,,,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
79,20190079,M,222,NA,Appeals (Academic),BUKIT PANJANG GOVT. HIGH SCHOOL,0,61,,,69,,,,62.4,71.4,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
80,20190080,F,262,NA,IP (Y),SCHOOL Y,0,63,,,78.5,,,,77.9,78.1,,,,70.1,,,,,,,,,,,,,,,,,,,,,,,,77.3,,,,1
81,20190081,M,0,NA,JAE Ordinary Admission,CHUNG CHENG HIGH SCHOOL (MAIN),0,59,,,68.5,,,70.8,52.8,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
82,20190082,M,254,NA,IP (X),SCHOOL X,0,EX,,,48,,,60.5,59.1,,,,,53.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
